File,Binoculars,GPTZero,Fast-DetectGPT,Date/Category
ubyssey_2022_30,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_31,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_32,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_33,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_34,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_35,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_36,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_37,HUMAN,HUMAN,AI,2022/Colleges
ubyssey_2022_38,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_39,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_40,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_41,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_42,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_43,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_44,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_45,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_46,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_47,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_48,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_49,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_50,HUMAN,HUMAN,MISSING,2022/Colleges
ubyssey_2022_51,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_52,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_53,HUMAN,HUMAN,AI,2022/Colleges
ubyssey_2022_54,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_55,HUMAN,HUMAN,AI,2022/Colleges
ubyssey_2022_56,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_57,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_58,HUMAN,HUMAN,HUMAN,2022/Colleges
ubyssey_2022_59,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_0,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_1,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_2,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_3,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_4,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_5,HUMAN,HUMAN,AI,2022/Colleges
newuniversity_california_irvine_2022_6,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_7,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_8,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_9,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_10,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_11,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_12,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_13,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_14,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_15,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_16,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_17,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_18,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_19,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_20,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_21,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_22,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_23,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_24,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_25,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_26,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_27,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_28,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_29,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_30,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_31,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_32,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_33,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_34,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_35,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_36,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_37,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_38,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_39,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_40,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_41,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_42,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_43,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_44,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_45,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_46,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_47,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_48,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_49,HUMAN,HUMAN,AI,2022/Colleges
newuniversity_california_irvine_2022_50,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_51,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_52,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_53,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_54,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_55,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_56,HUMAN,HUMAN,HUMAN,2022/Colleges
newuniversity_california_irvine_2022_57,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_0,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_1,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_2,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_3,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_4,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_5,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_6,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_7,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_8,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_9,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_10,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_11,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_12,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_13,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_14,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_15,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_16,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_17,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_18,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_19,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_20,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_21,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_22,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_23,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_24,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_25,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_26,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_27,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_28,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_29,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_30,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_31,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_32,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_33,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_34,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_35,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_36,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_37,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_38,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_39,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_40,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_41,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_42,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_43,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_44,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_45,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_46,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_47,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_48,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_49,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_50,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_51,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_52,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_53,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_54,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_55,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_56,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_57,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_58,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_59,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_60,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_61,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_62,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_63,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_64,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_65,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_66,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_67,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_68,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_69,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_70,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_71,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_72,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_73,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_74,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_75,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_76,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_77,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_78,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_79,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_80,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_81,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_82,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_83,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_84,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_85,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_86,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_87,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_88,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_89,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_90,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_91,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_92,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_93,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_94,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_95,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_96,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_97,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_98,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_99,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_100,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_101,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_102,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_103,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_104,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_105,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_106,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_107,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_108,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_109,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_110,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_111,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_112,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_113,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_114,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_115,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_116,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_117,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_118,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_119,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_120,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_121,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_122,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_123,HUMAN,HUMAN,AI,2022/Colleges
stanforddaily_2022_124,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_125,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_126,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_127,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_128,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_129,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_130,HUMAN,HUMAN,HUMAN,2022/Colleges
stanforddaily_2022_131,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_0,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_1,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_2,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_3,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_4,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_5,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_6,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_7,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_8,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_9,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_10,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_11,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_12,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_13,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_14,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_15,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_16,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_17,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_18,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_19,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_20,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_21,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_22,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_23,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_24,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_25,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_26,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_27,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_28,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_29,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_30,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_31,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_32,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_33,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_34,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_35,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_36,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_37,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_38,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_39,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_40,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_41,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_42,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_43,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_44,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_45,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_46,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_47,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_48,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_49,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_50,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_51,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_52,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_53,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_54,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_55,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_56,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_57,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_58,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_59,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_60,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_61,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_62,HUMAN,HUMAN,AI,2022/Colleges
rice_thresher_2022_63,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_64,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_65,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_66,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_67,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_68,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_69,HUMAN,HUMAN,HUMAN,2022/Colleges
rice_thresher_2022_70,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_0,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_1,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_2,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_3,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_4,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_5,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_6,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_7,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_8,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_9,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_10,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_11,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_12,HUMAN,HUMAN,AI,2022/Colleges
crimson_2022_13,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_14,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_15,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_16,HUMAN,HUMAN,AI,2022/Colleges
crimson_2022_17,HUMAN,HUMAN,AI,2022/Colleges
crimson_2022_18,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_19,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_20,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_21,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_22,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_23,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_24,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_25,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_26,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_27,HUMAN,HUMAN,AI,2022/Colleges
crimson_2022_28,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_29,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_30,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_31,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_32,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_33,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_34,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_35,HUMAN,HUMAN,AI,2022/Colleges
crimson_2022_36,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_37,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_38,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_39,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_40,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_41,HUMAN,HUMAN,AI,2022/Colleges
crimson_2022_42,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_43,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_44,HUMAN,HUMAN,HUMAN,2022/Colleges
crimson_2022_45,HUMAN,HUMAN,HUMAN,2022/Colleges
