Link,Score,Prediction
Opinion | Releasing Trump's Tax Returns Was the Right Decision,0.9570552110671997,Most likely human-generated
Opinion | How Russia 's War Against Ukraine Is Advancing LGBTQ Rights,0.9642857313156128,Most likely human-generated
Opinion | The Tucker Carlson Schtick Melts Away,1.0057142972946167,Most likely human-generated
Opinion | I Helped Write the Jan. 6 Committee Report. Here's What Tucker Carlson Left Out.,0.9940828680992126,Most likely human-generated
"Opinion | Joe Biden, Scandinavian",1.0382165908813477,Most likely human-generated
Opinion | Biden Should Listen to Zelenskyy on China,1.0370370149612427,Most likely human-generated
Opinion | Let the Cranks Run,0.983146071434021,Most likely human-generated
Opinion | Republicans Are Delusional If They Think Biden Will Be Easy to Beat,1.0,Most likely human-generated
Opinion | The Ousted Reporter Was Right to Call Out Ron DeSantis' Propaganda,0.9890710115432739,Most likely human-generated
Opinion | The Lessons of the Great Depression Are Being Ignored,0.9828571677207947,Most likely human-generated
Opinion | The Trump RINO Test Is Ridiculous,0.9476743936538696,Most likely human-generated
Opinion | ChatGPT Is Parroting Myths About Slavery,1.0279330015182495,Most likely human-generated
"Opinion | Stormy Daniels, Feminist Hero?",0.9629629850387573,Most likely human-generated
Opinion | Trump Seems to Be the Victim of a Witch Hunt. So What?,0.9363057613372803,Most likely human-generated
Opinion | Trump's Huge Jan. 6 Mistake,1.01129949092865,Most likely human-generated
Opinion | The Extraordinarily Misguided Attack on TikTok,1.023809552192688,Most likely human-generated
Opinion | The Russians Are Coming. There Could Be Downsides.,0.9642857313156128,Most likely human-generated
Opinion | The Gaping Hole in the Middle of the Trump Indictment,0.9235668778419495,Most likely human-generated
Opinion | The Trump-Netanyahu Strategy Is Revealed,1.0101009607315063,Most likely human-generated
Opinion | America Doesn't Want Joe Manchin,1.025477647781372,Most likely human-generated
Opinion | Can the 19th Century Law That Banned Walt Whitman Also Ban Abortion by Mail?,0.9631901979446411,Most likely human-generated
Opinion | The Clarence Thomas Scandal Is About More Than Corruption,1.0167597532272339,Most likely human-generated
Opinion | Biden Can Steamroll Republicans on the Debt Ceiling,0.9883720874786377,Most likely human-generated
Opinion | The GOP's Moderate Frontrunner,0.945652186870575,Most likely human-generated
Opinion | The Supreme Court Stopped Short of a Radical Act,1.0052632093429565,Most likely human-generated
Opinion | How Biden Could Take Advantage of Trump's Indictment - The Korean Way,0.9671052694320679,Most likely human-generated
Opinion | Trump's Election Denialism Is Already Winning,1.0115606784820557,Most likely human-generated
Opinion | We Need a Manhattan Project for AI Safety,0.970588207244873,Most likely human-generated
Opinion | Why Trump Can't Lose,0.9883720874786377,Most likely human-generated
Opinion | The Expiration of Title 42 Is a Reality Check,1.038888931274414,Most likely human-generated
Opinion | Donald Trump Betrayed the Country. And It Worked.,0.9825581312179565,Most likely human-generated
Opinion | Obama Is Wrong About the Media,1.0240963697433472,Most likely human-generated
Opinion | A Deceptively Radical Proposal to Govern AI,0.9649122953414917,Most likely human-generated
Opinion | America 's Poverty Is Built by Design,1.0635838508605957,Most likely human-generated
Opinion | The Conventional Wisdom About Ron DeSantis Is Wrong,0.97826087474823,Most likely human-generated
Opinion | The Anti-Trump Strategy that Might Actually Work,0.9948453903198242,Most likely human-generated
Opinion | The Republican Pearl Clutchers Are Wrong,0.954285740852356,Most likely human-generated
Opinion | Trump Says He Wants Quick Vindication. Don't Count On It.,0.9631901979446411,Most likely human-generated
Opinion | How Screwed Is Trump?,0.9176470637321472,Most likely human-generated
Opinion | The Path Forward in a Post-Affirmative Action World,1.0242424011230469,Most likely human-generated
Opinion | A Trump Pardon Could Drain Poison from the System,1.0514285564422607,Most likely human-generated
Opinion | The Trump Divide that Should Have Republicans Terrified,1.0112359523773193,Most likely human-generated
Opinion | Hunter Biden Got Special Treatment - Especially Harsh,0.948051929473877,Most likely human-generated
Opinion | The Left's Campaign to Destroy the Supreme Court,0.9756097793579102,Most likely human-generated
Opinion | I Worked With Anita Hill to Fight Clarence Thomas ' Confirmation. Our Worst Fears Came True.,1.0174418687820435,Most likely human-generated
Opinion | The Prigozhin Affair Is Much Less than Meets the Eye,0.9634146094322205,Most likely human-generated
Opinion | Ukraine Needs a Roadmap to NATO Membership ASAP,0.9882352948188782,Most likely human-generated
Opinion | These French Riots Are Different - and Far More Disturbing,1.01714289188385,Most likely human-generated
Opinion | Why Trump Gets Underestimated,0.9624999761581421,Most likely human-generated
Opinion | Elite Colleges Are About to Become the Villains,1.0064934492111206,Most likely human-generated
Opinion | Get Ready for the Vivek Ramaswamy Moment,1.0165746212005615,Most likely human-generated
Opinion | The Political Dead-End Abortion Foes Should Avoid,0.9873417615890503,Most likely human-generated
Opinion | How to Break Up Disney,0.9634146094322205,Most likely human-generated
Opinion | Why Trump Was Indicted (Again),0.9751552939414978,Most likely human-generated
Opinion | Trump Actually Has Pretty Good Odds of Getting Back to the White House,0.9520958065986633,Most likely human-generated
Opinion | Here's the Intelligence Assessment of Donald Trump that the Government Can't Write,0.9602272510528564,Most likely human-generated
Opinion | First Conservatives Came for Affirmative Action. Now They're Gunning for DEI Programs.,1.0760869979858398,Most likely human-generated
Opinion | Donald Trump Is Our Huey Long,1.0279330015182495,Most likely human-generated
"Opinion | 'Red, White and Royal Blue' Gets Politics All Wrong",0.9156626462936401,Most likely human-generated
Opinion | Keep Your Eyes on Jack Smith,0.9235668778419495,Most likely human-generated
Opinion | Here Are 3 Ways to End the War in Ukraine . One Might Actually Work.,0.9551281929016113,Most likely human-generated
Opinion | There's Only One Way to Control AI : Nationalization,0.9588235020637512,Most likely human-generated
Opinion | Trump Says He Has Immunity. Will the Supreme Court Beg to Differ?,0.9864864945411682,Most likely human-generated
"Opinion | Welcome to the Real Housewives of the GOP, Where the Candidates Fight like Reality Stars",0.9677419066429138,Most likely human-generated
"Opinion | If You Want the Public's Trust, Broadcast the Trump Trials",1.024844765663147,Most likely human-generated
"Opinion | Why a Big Union Is Snubbing Biden, Doing Industry's Dirty Work and Creating an Opening for Trump",1.0681818723678589,Most likely human-generated
Opinion | The Supreme Court Is Infected With the 'Most Damaging' Human Bias,1.0,Most likely human-generated
Opinion | Does Ron DeSantis Really Want a Diplomatic Crisis on Day One?,1.0235294103622437,Most likely human-generated
Opinion | The Best Anti-Trump Argument Can't Be Used,0.9670329689979553,Most likely human-generated
Opinion | How Biden Can Avoid a Collapse in the Youth Vote,0.9685534834861755,Most likely human-generated
"Opinion | Hip-Hop - and America - Are Changing, and Not for the Better",1.0421686172485352,Most likely human-generated
Opinion | Trump Will Get Away with Snubbing Conservatives on Abortion,0.9595375657081604,Most likely human-generated
Opinion | John Fetterman Should Wear a Suit - And Republicans Should Put a Sock in It,1.0058479309082031,Most likely human-generated
Opinion | Trump Wasn't at the Debate - But His Outfit Was,0.9823529124259949,Most likely human-generated
Opinion | The Supreme Court Case That Could Disrupt Everything From Medicare to Financial Regulators,1.0,Most likely human-generated
Opinion | The Coming Supreme Court Power Grab,1.0198675394058228,Most likely human-generated
Opinion | Why the Republican 'Young Guns' Collapsed,1.016853928565979,Most likely human-generated
Opinion | Don't Overthink Jim Jordan's Failure,0.9702380895614624,Most likely human-generated
Opinion | The Incredibly Shrinking GOP Presidential Race,0.967391312122345,Most likely human-generated
Opinion | Republicans Are Dodging a Bullet with Jim Jordan's Collapse,1.0419161319732666,Most likely human-generated
Opinion | How the Trump Gag Orders Could Backfire,1.0119760036468506,Most likely human-generated
Opinion | The Unexpected Climate Policy That Could Tackle Both National Debt and China,0.955974817276001,Most likely human-generated
Opinion | Why Nikki Haley Might Become Donald Trump's Biggest Rival,1.0,Most likely human-generated
Opinion | Twitter Gave Us an Indispensable Real-Time News Platform. X Took It Away.,1.023391842842102,Most likely human-generated
Opinion | Israel -Gaza Conflicts End Up the Same. Here's How This Could Be Different.,0.9360465407371521,Most likely human-generated
"Opinion | What if Trump Is Convicted, and Nobody Cares?",0.9764705896377563,Most likely human-generated
Opinion | What I Got Wrong About Vivek Ramaswamy,1.0546448230743408,Most likely human-generated
Opinion | The Real Story Behind 'Killers of the Flower Moon' is Much Worse,0.9627329111099243,Most likely human-generated
Opinion | Mail-in Voting Is Killing Us,0.9871794581413269,Most likely human-generated
Opinion | Behind China's Plans to Build AI for the World,0.9791666865348816,Most likely human-generated
"Opinion | The Painful, Depressing Reality of Why Congress Is So Dysfunctional",0.9640718698501587,Most likely human-generated
Opinion | The Stunning Election in Argentina Is a Warning to Biden,0.9885714054107666,Most likely human-generated
Opinion | Will Trump's Supreme Court Justices Stick to Their Word?,0.9759036302566528,Most likely human-generated
Opinion | The Most Powerful Anti-Trump Argument in the GOP Has Evaporated,1.0052909851074219,Most likely human-generated
Opinion | Don't Create More Safe Spaces on Campus,0.9814814925193787,Most likely human-generated
Opinion | Ginni Thomas Is a Victim of Donald Trump's Alleged Crimes,0.9470198750495911,Most likely human-generated
Opinion | Why Was It So Hard for Nikki Haley to Say 'Slavery'? History Has the Answer,0.9791666865348816,Most likely human-generated
Opinion | The Root Causes of Congressional Dysfunction,0.954023003578186,Most likely human-generated
